               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   8,            0.021003,            0.011484,           0.0063833,             0.99521,              0.9936,             0.99331,             0.84734,           0.0084656,           0.0077237,           0.0014369,              0.0079,              0.0079,              0.0079
                   9,            0.020556,            0.011146,           0.0062188,             0.99378,             0.99429,             0.99301,             0.86824,           0.0072054,           0.0083327,           0.0013137,              0.0076,              0.0076,              0.0076
                  10,            0.020159,             0.01142,           0.0058228,             0.99295,             0.99698,              0.9936,             0.86565,           0.0078115,           0.0080102,            0.001188,              0.0073,              0.0073,              0.0073
                  11,            0.019381,            0.010924,           0.0059567,             0.99348,             0.99354,             0.99354,             0.87144,           0.0080903,           0.0082261,           0.0013079,               0.007,               0.007,               0.007
                  12,             0.01936,             0.01106,           0.0057214,              0.9912,             0.99356,             0.99286,             0.88088,           0.0066428,           0.0081694,            0.001355,              0.0067,              0.0067,              0.0067
                  13,            0.019013,            0.010639,           0.0056022,             0.99364,             0.99686,             0.99379,             0.89627,           0.0062502,           0.0059651,           0.0010902,              0.0064,              0.0064,              0.0064
                  14,            0.018766,            0.010879,           0.0051455,             0.99168,             0.99615,             0.99343,             0.87991,           0.0064799,           0.0082026,           0.0011966,              0.0061,              0.0061,              0.0061
                  15,            0.018335,            0.010491,           0.0055171,             0.99327,             0.99614,             0.99319,             0.89064,           0.0062389,           0.0077243,           0.0011374,              0.0058,              0.0058,              0.0058
                  16,            0.017417,            0.010153,           0.0052123,             0.99583,             0.99607,             0.99367,             0.88001,           0.0063689,           0.0070859,           0.0010098,              0.0055,              0.0055,              0.0055
                  17,            0.017681,            0.010174,            0.005191,             0.99293,             0.99571,             0.99364,             0.89133,           0.0057088,           0.0082352,           0.0011604,              0.0052,              0.0052,              0.0052
                  18,             0.01727,            0.010299,            0.004907,             0.99412,             0.99488,             0.99355,             0.89891,           0.0061572,           0.0071025,           0.0011131,              0.0049,              0.0049,              0.0049
                  19,            0.016869,            0.009947,           0.0044151,             0.99595,             0.99657,             0.99346,              0.8867,           0.0058529,           0.0072524,          0.00095069,              0.0046,              0.0046,              0.0046
